credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1183,231.94,10.34884622,5.69,712,2460.958333,6955,63.8,1,0,0,0
1,major_purchase,0.0774,124.88,11.26446411,7.17,792,6360.041667,168,0.7,0,0,0,0
1,credit_card,0.1505,86.73,11.184421400000002,16.3,667,3600.0,16242,95.5,0,0,0,0
1,debt_consolidation,0.1284,403.42,10.73639668,19.57,697,3450.041667,27261,87.4,1,0,0,0
1,debt_consolidation,0.1531,278.53,10.62132735,8.2,662,1860.0,7979,48.7,0,1,0,0
1,debt_consolidation,0.0894,476.58,10.04498711,10.1,772,5640.041667,8264,23.7,0,0,0,0
1,debt_consolidation,0.1253,401.6,11.26446411,18.89,702,6930.0,15074,59.6,0,0,0,0
1,debt_consolidation,0.1442,275.07,10.89673933,7.0,662,1949.958333,14867,57.6,2,0,0,0
1,debt_consolidation,0.1496,623.61,11.53272809,20.45,697,6210.0,45410,41.2,0,0,0,0
1,debt_consolidation,0.1062,455.84,10.4341158,18.07,717,2490.0,7292,65.1,1,0,0,0
0,debt_consolidation,0.1249,50.18,9.655026193,14.23,652,1230.041667,6312,60.7,4,0,0,0
1,all_other,0.1284,336.18,10.77895629,4.0,707,3181.0,7350,13.8,3,1,0,0
1,educational,0.1253,60.24,10.40571633,13.62,677,3150.0,921,51.2,1,0,0,0
1,debt_consolidation,0.1095,323.87,10.57131693,14.65,727,2399.958333,10299,39.9,0,0,0,0
1,all_other,0.1134,131.6,11.56171563,11.04,677,1650.0,1527,50.9,2,0,1,0
1,debt_consolidation,0.1148,454.97,10.67359577,23.61,752,8679.958333,6698,67.0,0,0,0,0
1,debt_consolidation,0.1095,163.57,10.08580911,13.45,742,9395.0,5274,65.9,0,0,0,0
0,all_other,0.0768,374.29,11.22524339,20.74,727,3090.0,94064,57.6,0,0,0,0
1,educational,0.0751,217.77,9.655026193,11.38,732,9840.0,5291,67.0,0,0,0,0
0,debt_consolidation,0.1786,88.41,10.91508846,9.62,612,1230.0,1190,119.0,15,0,0,0
1,credit_card,0.1083,146.97,11.00209984,8.66,712,4710.0,13103,53.5,0,0,1,0
1,debt_consolidation,0.0963,224.66,10.81977828,12.77,727,7320.0,13539,68.7,0,0,0,0
1,major_purchase,0.0894,47.66,10.34174248,8.52,717,3960.0,1649,6.0,0,0,0,0
1,debt_consolidation,0.1316,445.77,11.00209984,7.26,697,3792.958333,10965,85.7,0,0,0,0
1,educational,0.0894,158.86,10.81977828,13.27,742,2130.0,4676,18.0,0,0,0,0
1,debt_consolidation,0.1253,441.76,10.74926998,7.98,712,7229.958333,10683,70.3,1,0,0,0
1,small_business,0.0963,471.79,11.31447453,4.71,762,6809.958333,3629,17.9,0,1,0,0
1,all_other,0.1221,158.25,10.71894086,20.95,747,5760.0,26272,33.7,1,0,0,0
1,debt_consolidation,0.1221,369.8,10.38108726,23.71,717,3090.0,14339,58.1,0,0,0,0
1,small_business,0.1008,807.62,10.51867319,8.53,767,3346.0,2296,7.6,3,0,0,0
1,debt_consolidation,0.1183,331.34,10.59663473,0.54,732,3780.041667,554,14.2,0,0,1,0
1,all_other,0.1253,214.19,10.97678203,18.22,697,7230.0,6917,73.6,0,0,0,0
1,educational,0.1221,333.15,11.00209984,11.42,702,1950.041667,6116,33.1,2,0,0,0
0,debt_consolidation,0.1028,162.0,11.15625052,0.26,687,344.9583333,1169,48.7,0,0,0,0
1,debt_consolidation,0.1095,556.14,10.96819829,8.13,797,4800.0,18001,3.4,0,0,0,0
